Transition, Time (secs), Satisfiable
transition__S10__a__S01__mediante_met_reject,0.05,false
transition__S08__a__S09__mediante_met_terminate,0.033,false
transition__S03__a__S09__mediante_met_terminate,0.045,false
transition__S10__a__S02__mediante_met_reject,0.039,false
transition__S08__a__S10__mediante_met_terminate,0.04,true
transition__S09__a__S01__mediante_met_terminate,0.039,false
transition__S03__a__S10__mediante_met_terminate,0.069,true
transition__S10__a__S03__mediante_met_reject,0.06,false
transition__S09__a__S02__mediante_met_terminate,0.045,false
transition__S04__a__S01__mediante_met_terminate,0.049,false
transition__S10__a__S04__mediante_met_reject,0.063,false
transition__S09__a__S03__mediante_met_terminate,0.037,false
transition__S04__a__S02__mediante_met_terminate,0.034,false
transition__S09__a__S04__mediante_met_terminate,0.039,false
transition__S10__a__S05__mediante_met_reject,0.05,false
transition__S04__a__S03__mediante_met_terminate,0.049,false
transition__S09__a__S05__mediante_met_terminate,0.026,false
transition__S04__a__S04__mediante_met_terminate,0.038,false
transition__S09__a__S06__mediante_met_terminate,0.054,false
transition__S10__a__S06__mediante_met_reject,0.076,false
transition__S04__a__S05__mediante_met_terminate,0.026,false
transition__S10__a__S07__mediante_met_reject,0.026,false
transition__S09__a__S07__mediante_met_terminate,0.037,false
transition__S10__a__S08__mediante_met_reject,0.023,false
transition__S04__a__S06__mediante_met_terminate,0.048,false
transition__S09__a__S08__mediante_met_terminate,0.035,false
transition__S10__a__S09__mediante_met_reject,0.044,false
transition__S04__a__S07__mediante_met_terminate,0.062,false
transition__S09__a__S09__mediante_met_terminate,0.046,false
transition__S10__a__S10__mediante_met_reject,0.025,false
transition__S09__a__S10__mediante_met_terminate,0.048,false
transition__S04__a__S08__mediante_met_terminate,0.057,false
transition__S10__a__S01__mediante_met_accept,0.051,false
transition__S05__a__S01__mediante_met_modify,0.049,false
transition__S04__a__S09__mediante_met_terminate,0.058,false
transition__S10__a__S02__mediante_met_accept,0.071,false
transition__S05__a__S02__mediante_met_modify,0.038,false
transition__S04__a__S10__mediante_met_terminate,0.057,true
transition__S05__a__S03__mediante_met_modify,0.054,false
transition__S10__a__S03__mediante_met_accept,0.082,false
transition__S01__a__S01__mediante_met_modify,0.056,true
transition__S05__a__S04__mediante_met_modify,0.076,false
transition__S10__a__S04__mediante_met_accept,0.065,false
transition__S01__a__S02__mediante_met_modify,0.057,false
transition__S10__a__S05__mediante_met_accept,0.039,false
