Transition, Time (secs), Satisfiable
turquoise_transition__S09__a__S02_S06__mediante_met_t,3.53,true
turquoise_transition__S09__a__S02_S09__mediante_met_t,2.877,true
turquoise_transition__S09__a__S06_S09__mediante_met_t,3.562,true
turquoise_transition__S09__a__S02_S06_S09__mediante_met_t,-1.0,false
turquoise_transition__S09__a__S02_S06_S09__mediante_met_t,120.002,false
turquoise_transition__S07__a__S07_S12__mediante_met_withdraw,7.839,true
turquoise_transition__S02__a__S02_S06__mediante_met_withdraw,-1.0,false
turquoise_transition__S02__a__S02_S06__mediante_met_withdraw,120.0,false

